block_id,season,plot_id,treat_code,treat_details,urea_rate_timing,crop,prior_season_crop,planting_date,compost_tha,compost_quality,seed_variety,seeds_kgha,dap_kgha,urea_planting_kgha,germ_count_date,germination_rate,urea_V6_date,urea_V6_kgha,urea_V10_date,urea_V10_kgha,urea_total_kgha,N_kgha,silking_date,R3_date,harvest_date,yield_tha
adfa31ad-95bf-453d-94f1-d163a97756ee,21A,adfa31ad-95bf-453d-94f1-d163a97756ee-21A-A,A,DAP 1Kg/Are + Urea 0.5Kg/Are at V6,Urea 0.5Kg/Are(V6),maize,maize,9/26/2020,8,Well_decomposed,MV_403,28,100,0,10/28/2020,88,11/11/2020,50,,0,50,41,12/24/2020,1/13/2021,2/24/2021,4.52
adfa31ad-95bf-453d-94f1-d163a97756ee,21A,adfa31ad-95bf-453d-94f1-d163a97756ee-21A-B,B,DAP 1Kg/Are + Urea 0.5Kg/Are at Planting and Urea 0.5Kg/Are at V6,Urea1kg/Are(Planting+V6),maize,maize,9/26/2020,8,Well_decomposed,MV_403,28,100,50,10/28/2020,84,11/11/2020,50,,0,100,64,12/24/2020,1/13/2021,2/24/2021,4.20
adfa31ad-95bf-453d-94f1-d163a97756ee,21A,adfa31ad-95bf-453d-94f1-d163a97756ee-21A-C,C,DAP 1Kg/Are + Urea 0.5Kg/Are at V6 + Urea 0.5Kg/Are at V10,Urea 1kg/Are(V6 + V10),maize,maize,9/26/2020,8,Well_decomposed,MV_403,28,100,0,10/28/2020,92,11/11/2020,50,12/3/2020,50,100,64,12/24/2020,1/13/2021,2/24/2021,3.49
adfa31ad-95bf-453d-94f1-d163a97756ee,21A,adfa31ad-95bf-453d-94f1-d163a97756ee-21A-D,D,DAP 1Kg/Are at planting+ Urea 1Kg/Are at V6,Urea 1kg/Are(V6),maize,maize,9/26/2020,8,Well_decomposed,MV_403,28,100,0,10/28/2020,94,11/11/2020,100,,0,100,64,12/24/2020,1/13/2021,2/24/2021,3.58
d8807f25-e675-49ae-87a3-d228eca23c72,21A,d8807f25-e675-49ae-87a3-d228eca23c72-21A-A,A,DAP 1Kg/Are + Urea 0.5Kg/Are at V6,Urea 0.5Kg/Are(V6),maize,maize,9/26/2020,10,Well_decomposed,MV_403,30,99,0,10/28/2020,69,11/11/2020,50,,0,50,41,12/24/2020,1/13/2021,2/24/2021,4.59
d8807f25-e675-49ae-87a3-d228eca23c72,21A,d8807f25-e675-49ae-87a3-d228eca23c72-21A-B,B,DAP 1Kg/Are + Urea 0.5Kg/Are at Planting and Urea 0.5Kg/Are at V6,Urea1kg/Are(Planting+V6),maize,maize,9/26/2020,10,Well_decomposed,MV_403,30,99,50,10/24/2020,88,11/11/2020,50,,0,99,63,12/24/2020,1/13/2021,2/24/2021,4.76
d8807f25-e675-49ae-87a3-d228eca23c72,21A,d8807f25-e675-49ae-87a3-d228eca23c72-21A-C,C,DAP 1Kg/Are + Urea 0.5Kg/Are at V6 + Urea 0.5Kg/Are at V10,Urea 1kg/Are(V6 + V10),maize,maize,9/26/2020,10,Well_decomposed,MV_403,30,99,0,10/28/2020,72,11/11/2020,50,12/3/2020,50,99,63,12/24/2020,1/13/2021,2/24/2021,5.59
d8807f25-e675-49ae-87a3-d228eca23c72,21A,d8807f25-e675-49ae-87a3-d228eca23c72-21A-D,D,DAP 1Kg/Are at planting+ Urea 1Kg/Are at V6,Urea 1kg/Are(V6),maize,maize,9/26/2020,10,Well_decomposed,MV_403,30,99,0,10/24/2020,87,11/11/2020,99,,0,99,63,12/24/2020,1/13/2021,2/24/2021,5.13
262efa71-6ff4-4e18-b6f1-0c3d293504c0,21A,262efa71-6ff4-4e18-b6f1-0c3d293504c0-21A-A,A,DAP 1Kg/Are + Urea 0.5Kg/Are at V6,Urea 0.5Kg/Are(V6),maize,Beans,9/29/2020,10,Well_decomposed,MV_403,28,100,0,10/28/2020,89,11/5/2020,50,,0,50,41,12/31/2020,1/25/2021,2/25/2021,5.45
262efa71-6ff4-4e18-b6f1-0c3d293504c0,21A,262efa71-6ff4-4e18-b6f1-0c3d293504c0-21A-B,B,DAP 1Kg/Are + Urea 0.5Kg/Are at Planting and Urea 0.5Kg/Are at V6,Urea1kg/Are(Planting+V6),maize,Beans,9/29/2020,10,Well_decomposed,MV_403,28,100,50,10/28/2020,90,11/5/2020,50,,0,100,64,12/31/2020,1/25/2021,2/25/2021,4.78
262efa71-6ff4-4e18-b6f1-0c3d293504c0,21A,262efa71-6ff4-4e18-b6f1-0c3d293504c0-21A-C,C,DAP 1Kg/Are + Urea 0.5Kg/Are at V6 + Urea 0.5Kg/Are at V10,Urea 1kg/Are(V6 + V10),maize,Beans,9/29/2020,10,Well_decomposed,MV_403,28,100,0,10/28/2020,84,11/5/2020,50,11/30/2020,50,100,64,12/31/2020,1/25/2021,2/25/2021,5.57
262efa71-6ff4-4e18-b6f1-0c3d293504c0,21A,262efa71-6ff4-4e18-b6f1-0c3d293504c0-21A-D,D,DAP 1Kg/Are at planting+ Urea 1Kg/Are at V6,Urea 1kg/Are(V6),maize,Beans,9/29/2020,10,Well_decomposed,MV_403,28,100,0,10/28/2020,91,11/5/2020,100,,0,100,64,12/31/2020,1/25/2021,2/25/2021,6.68
